"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"RELIANCE","EQ","11-Aug-2022","2,582.50","2,603.10","2,609.90","2,580.20","2,586.70","2,591.10","2,593.04","37,83,480","9,81,07,22,225.40","1,71,131"
"RELIANCE","EQ","10-Aug-2022","2,567.15","2,576.90","2,589.90","2,557.05","2,578.95","2,582.50","2,574.23","49,49,442","12,74,10,05,921.30","1,83,157"
"RELIANCE","BL","08-Aug-2022","2,503.10","2,534.00","2,534.00","2,534.00","2,534.00","2,534.00","2,534.00","41,31,769","10,46,99,02,646.00","1"
"RELIANCE","EQ","08-Aug-2022","2,534.00","2,531.00","2,583.55","2,531.00","2,568.00","2,567.15","2,567.43","46,91,228","12,04,44,17,897.15","1,72,002"
"RELIANCE","EQ","05-Aug-2022","2,571.90","2,576.00","2,578.80","2,526.95","2,532.90","2,534.00","2,543.41","64,34,433","16,36,54,07,365.90","2,49,464"
"RELIANCE","EQ","04-Aug-2022","2,606.35","2,610.00","2,617.75","2,535.00","2,570.00","2,571.90","2,569.27","66,76,577","17,15,39,07,762.65","3,09,213"
"RELIANCE","EQ","03-Aug-2022","2,584.65","2,600.00","2,610.00","2,567.45","2,606.20","2,606.35","2,591.04","65,76,824","17,04,08,29,415.65","2,50,247"
"RELIANCE","EQ","02-Aug-2022","2,574.85","2,572.50","2,607.80","2,561.55","2,575.50","2,584.65","2,583.64","64,23,115","16,59,49,94,133.95","2,30,608"
"RELIANCE","EQ","01-Aug-2022","2,509.45","2,519.15","2,587.75","2,507.60","2,569.00","2,574.85","2,560.47","72,45,568","18,55,20,37,709.10","2,62,991"
"RELIANCE","EQ","29-Jul-2022","2,457.10","2,474.70","2,517.10","2,464.00","2,507.20","2,509.45","2,494.30","69,82,808","17,41,72,22,455.45","2,70,354"
"RELIANCE","EQ","28-Jul-2022","2,419.20","2,436.00","2,467.95","2,421.00","2,453.60","2,457.10","2,446.73","57,66,936","14,11,01,46,776.35","2,07,490"
"RELIANCE","EQ","27-Jul-2022","2,421.50","2,419.95","2,427.00","2,402.00","2,422.00","2,419.20","2,416.05","39,94,321","9,65,04,59,374.80","1,65,700"
"RELIANCE","EQ","26-Jul-2022","2,420.40","2,421.10","2,443.90","2,411.35","2,419.40","2,421.50","2,430.94","52,16,466","12,68,09,27,214.10","1,88,181"
"RELIANCE","EQ","25-Jul-2022","2,503.10","2,467.45","2,467.45","2,403.00","2,417.40","2,420.40","2,422.67","1,06,65,470","25,83,88,70,736.65","4,50,900"
"RELIANCE","BL","25-Jul-2022","2,523.70","2,503.10","2,503.10","2,503.10","2,503.10","2,503.10","2,503.10","41,31,767","10,34,22,25,977.70","1"
"RELIANCE","EQ","22-Jul-2022","2,486.30","2,500.00","2,516.30","2,495.00","2,502.95","2,503.10","2,504.62","50,62,651","12,67,99,94,866.30","1,72,852"
"RELIANCE","EQ","21-Jul-2022","2,503.00","2,494.00","2,500.00","2,467.30","2,486.00","2,486.30","2,482.92","76,25,468","18,93,34,28,050.10","1,97,537"
"RELIANCE","EQ","20-Jul-2022","2,437.10","2,540.00","2,542.50","2,486.25","2,499.00","2,503.00","2,506.66","1,10,41,036","27,67,61,29,582.85","3,25,796"
"RELIANCE","EQ","19-Jul-2022","2,422.25","2,400.30","2,447.00","2,400.30","2,433.00","2,437.10","2,429.46","75,87,006","18,43,23,14,366.20","2,13,280"
"RELIANCE","EQ","18-Jul-2022","2,401.80","2,421.00","2,425.00","2,392.30","2,423.00","2,422.25","2,408.23","69,96,757","16,84,98,06,027.65","2,12,210"
"RELIANCE","EQ","15-Jul-2022","2,397.15","2,415.00","2,415.00","2,383.10","2,401.15","2,401.80","2,397.18","44,31,880","10,62,39,95,556.20","1,37,878"
"RELIANCE","EQ","14-Jul-2022","2,377.55","2,388.00","2,433.95","2,376.95","2,399.00","2,397.15","2,398.08","78,31,798","18,78,12,43,733.65","2,57,217"
"RELIANCE","EQ","13-Jul-2022","2,420.45","2,427.30","2,434.00","2,373.00","2,379.00","2,377.55","2,398.49","65,64,435","15,74,47,18,033.45","2,63,635"
"RELIANCE","EQ","12-Jul-2022","2,423.90","2,404.00","2,439.70","2,404.00","2,418.80","2,420.45","2,424.68","49,74,502","12,06,15,61,234.20","2,03,393"
"RELIANCE","EQ","11-Jul-2022","2,391.40","2,376.50","2,428.80","2,370.00","2,421.50","2,423.90","2,400.92","63,90,604","15,34,33,20,840.20","2,24,208"
"RELIANCE","EQ","08-Jul-2022","2,388.10","2,418.00","2,418.00","2,382.55","2,391.00","2,391.40","2,393.99","87,73,162","21,00,28,72,434.25","3,10,810"
"RELIANCE","EQ","07-Jul-2022","2,411.85","2,425.90","2,433.25","2,375.00","2,391.00","2,388.10","2,392.12","1,07,53,423","25,72,34,62,115.35","3,88,023"
"RELIANCE","EQ","06-Jul-2022","2,433.25","2,420.10","2,441.95","2,388.00","2,415.00","2,411.85","2,410.61","1,10,50,026","26,63,72,48,724.35","3,92,094"
"RELIANCE","EQ","05-Jul-2022","2,413.70","2,423.00","2,464.90","2,417.10","2,431.55","2,433.25","2,440.39","81,44,239","19,87,51,58,179.60","3,51,338"
"RELIANCE","EQ","04-Jul-2022","2,408.70","2,378.95","2,442.00","2,366.10","2,413.00","2,413.70","2,412.08","1,93,17,335","46,59,49,29,825.60","5,25,122"
